rank,token,training_add_cases,training_add_rate,development_observed_add_cases,marginal_predicted_cases,marginal_correct_cases,retrieval_predicted_cases,retrieval_correct_cases
623,conservative,2,0.013333,1,0,0,2,0
624,considered,2,0.013333,0,0,0,0,0
625,contact,2,0.013333,0,0,0,1,0
626,continued,2,0.013333,0,0,0,1,0
627,control,2,0.013333,1,0,0,0,0
628,count,2,0.013333,0,0,0,2,0
629,courageous,2,0.013333,1,0,0,0,0
630,created,2,0.013333,0,0,0,0,0
631,creativity,2,0.013333,1,0,0,0,0
632,critical,2,0.013333,0,0,0,2,0
633,cultures,2,0.013333,0,0,0,0,0
634,current,2,0.013333,1,0,0,0,0
635,currently,2,0.013333,2,0,0,1,0
636,database,2,0.013333,0,0,0,0,0
637,daydreamer,2,0.013333,0,0,0,1,0
638,debate,2,0.013333,0,0,0,2,0
639,democracy,2,0.013333,1,0,0,0,0
640,descent,2,0.013333,0,0,0,0,0
641,deserve,2,0.013333,0,0,0,0,0
642,determined,2,0.013333,0,0,0,0,0
643,difference,2,0.013333,0,0,0,0,0
644,diligent,2,0.013333,0,0,0,2,0
645,discussing,2,0.013333,0,0,0,0,0
646,doer,2,0.013333,0,0,0,0,0
647,doesn't,2,0.013333,0,0,0,0,0
648,drink,2,0.013333,2,0,0,2,0
649,driver,2,0.013333,3,0,0,2,0
650,drums,2,0.013333,0,0,0,0,0
651,dumb,2,0.013333,0,0,0,0,0
652,each,2,0.013333,0,0,0,2,0
653,easy,2,0.013333,1,0,0,0,0
654,eater,2,0.013333,2,0,0,0,0
655,eating,2,0.013333,1,0,0,0,0
656,educated,2,0.013333,2,0,0,2,0
657,elderly,2,0.013333,0,0,0,0,0
658,electronics,2,0.013333,0,0,0,0,0
659,emotionally,2,0.013333,1,0,0,0,0
660,encourager,2,0.013333,0,0,0,1,0
661,end,2,0.013333,1,0,0,0,0
662,energetic,2,0.013333,0,0,0,2,0
663,engaged,2,0.013333,0,0,0,1,0
664,enjoyer,2,0.013333,0,0,0,1,0
665,enough,2,0.013333,0,0,0,7,0
666,enthusiast,2,0.013333,1,0,0,1,0
667,entrepreneur,2,0.013333,0,0,0,1,0
668,equal,2,0.013333,0,0,0,0,0
669,especially,2,0.013333,1,0,0,0,0
670,ethnic,2,0.013333,0,0,0,2,0
671,european,2,0.013333,0,0,0,1,0
672,ever,2,0.013333,0,0,0,1,0
673,everyone,2,0.013333,0,0,0,1,0
674,excited,2,0.013333,0,0,0,0,0
675,exploring,2,0.013333,0,0,0,1,0
676,extra,2,0.013333,0,0,0,1,0
677,extremely,2,0.013333,0,0,0,1,0
678,extrovert,2,0.013333,1,0,0,0,0
679,faith,2,0.013333,0,0,0,0,0
680,faithful,2,0.013333,1,0,0,1,0
681,fear,2,0.013333,1,0,0,0,0
682,feels,2,0.013333,0,0,0,0,0
683,fiction,2,0.013333,1,0,0,1,0
684,fight,2,0.013333,0,0,0,0,0
685,fighter,2,0.013333,1,0,0,2,0
686,figure,2,0.013333,0,0,0,0,0
687,filled,2,0.013333,0,0,0,0,0
688,film,2,0.013333,1,0,0,0,0
689,finding,2,0.013333,1,0,0,2,0
690,fisher,2,0.013333,0,0,0,2,0
691,fix,2,0.013333,0,0,0,0,0
692,fixed,2,0.013333,0,0,0,0,0
693,flawed,2,0.013333,0,0,0,0,0
694,foodie,2,0.013333,1,0,0,0,0
695,foot,2,0.013333,1,0,0,0,0
696,football,2,0.013333,1,0,0,0,0
697,forgiving,2,0.013333,0,0,0,3,0
698,former,2,0.013333,0,0,0,2,0
699,freedom,2,0.013333,2,0,0,2,0
700,frugal,2,0.013333,2,0,0,0,0
701,girl,2,0.013333,0,0,0,0,0
702,giver,2,0.013333,0,0,0,1,0
703,gives,2,0.013333,0,0,0,1,0
704,god's,2,0.013333,0,0,0,0,0
705,goer,2,0.013333,1,0,0,6,0
706,grateful,2,0.013333,2,0,0,1,0
707,green,2,0.013333,0,0,0,0,0
708,growing,2,0.013333,1,0,0,1,0
709,habits,2,0.013333,0,0,0,1,0
710,hands,2,0.013333,0,0,0,2,0
711,happening,2,0.013333,0,0,0,2,0
712,happens,2,0.013333,0,0,0,0,0
713,happily,2,0.013333,0,0,0,0,0
714,hardworking,2,0.013333,0,0,0,1,0
715,hate,2,0.013333,3,0,0,2,0
716,heaven,2,0.013333,0,0,0,1,0
717,here,2,0.013333,1,0,0,1,0
718,higher,2,0.013333,1,0,0,0,0
719,hiker,2,0.013333,0,0,0,0,0
720,hilarious,2,0.013333,0,0,0,1,0
721,him,2,0.013333,0,0,0,1,0
722,hispanic,2,0.013333,0,0,0,0,0
723,hobbies,2,0.013333,1,0,0,0,0
724,honesty,2,0.013333,0,0,0,1,0
725,hopeful,2,0.013333,0,0,0,0,0
726,horses,2,0.013333,0,0,0,1,0
727,how,2,0.013333,4,0,0,0,0
728,humanity,2,0.013333,0,0,0,1,0
729,i'll,2,0.013333,1,0,0,2,0
730,ideas,2,0.013333,1,0,0,1,0
731,ii,2,0.013333,0,0,0,1,0
732,ilk,2,0.013333,0,0,0,2,0
733,inches,2,0.013333,0,0,0,0,0
734,inclined,2,0.013333,1,0,0,2,0
735,include,2,0.013333,0,0,0,0,0
736,including,2,0.013333,0,0,0,0,0
737,interaction,2,0.013333,0,0,0,0,0
738,interests,2,0.013333,1,0,0,6,0
739,issues,2,0.013333,0,0,0,0,0
740,judgmental,2,0.013333,0,0,0,1,0
741,kitchen,2,0.013333,0,0,0,3,0
742,knowledge,2,0.013333,1,0,0,2,0
743,large,2,0.013333,1,0,0,2,0
744,later,2,0.013333,0,0,0,0,0
745,law,2,0.013333,1,0,0,0,0
746,learned,2,0.013333,0,0,0,0,0
747,let,2,0.013333,0,0,0,1,0
748,light,2,0.013333,0,0,0,0,0
749,listen,2,0.013333,2,0,0,1,0
750,local,2,0.013333,0,0,0,2,0
751,masters,2,0.013333,0,0,0,0,0
752,math,2,0.013333,2,0,0,1,0
753,matter,2,0.013333,0,0,0,0,0
754,mediocre,2,0.013333,0,0,0,1,0
755,member,2,0.013333,1,0,0,1,0
756,mental,2,0.013333,0,0,0,6,0
757,minds,2,0.013333,0,0,0,0,0
758,mixed,2,0.013333,0,0,0,0,0
759,moments,2,0.013333,2,0,0,2,0
760,months,2,0.013333,0,0,0,0,0
761,mostly,2,0.013333,1,0,0,2,0
762,mother's,2,0.013333,0,0,0,2,0
763,motivated,2,0.013333,0,0,0,0,0
764,musician,2,0.013333,0,0,0,1,0
765,name,2,0.013333,1,0,0,0,0
766,navy,2,0.013333,0,0,0,1,0
767,needed,2,0.013333,0,0,0,0,0
768,neighbor,2,0.013333,0,0,0,0,0
769,nerd,2,0.013333,0,0,0,1,0
770,night,2,0.013333,1,0,0,0,0
771,normal,2,0.013333,1,0,0,0,0
772,northeast,2,0.013333,0,0,0,1,0
773,nostalgic,2,0.013333,0,0,0,2,0
774,opinionated,2,0.013333,0,0,0,0,0
775,organized,2,0.013333,1,0,0,2,1
776,organizer,2,0.013333,0,0,0,1,0
777,our,2,0.013333,1,0,0,2,0
778,outdoor,2,0.013333,2,0,0,2,0
779,outgoing,2,0.013333,0,0,0,0,0
780,outspoken,2,0.013333,0,0,0,0,0
781,overthinker,2,0.013333,1,0,0,2,0
782,owl,2,0.013333,0,0,0,0,0
783,pain,2,0.013333,2,0,0,2,0
784,park,2,0.013333,2,0,0,1,0
785,path,2,0.013333,0,0,0,2,0
786,patience,2,0.013333,0,0,0,0,0
787,peace,2,0.013333,1,0,0,1,0
788,peaceful,2,0.013333,1,0,0,1,0
789,peanut,2,0.013333,0,0,0,0,0
790,people's,2,0.013333,0,0,0,2,0
791,perfect,2,0.013333,1,0,0,0,0
792,personal,2,0.013333,1,0,0,2,0
793,physics,2,0.013333,0,0,0,1,0
794,pizza,2,0.013333,2,0,0,1,0
795,planner,2,0.013333,1,0,0,0,0
796,plants,2,0.013333,1,0,0,0,0
797,poetry,2,0.013333,0,0,0,0,0
798,position,2,0.013333,0,0,0,3,0
799,power,2,0.013333,0,0,0,1,0
800,powerful,2,0.013333,0,0,0,0,0
801,practice,2,0.013333,0,0,0,0,0
802,present,2,0.013333,0,0,0,1,0
803,private,2,0.013333,0,0,0,1,0
804,problems,2,0.013333,1,0,0,0,0
805,professional,2,0.013333,0,0,0,1,0
806,protective,2,0.013333,0,0,0,1,0
807,proud,2,0.013333,3,0,0,3,0
808,puzzles,2,0.013333,2,0,0,1,0
809,question,2,0.013333,0,0,0,2,0
810,quick,2,0.013333,0,0,0,0,0
811,quilt,2,0.013333,0,0,0,0,0
812,race,2,0.013333,0,0,0,0,0
813,ready,2,0.013333,1,0,0,0,0
814,real,2,0.013333,0,0,0,2,0
815,really,2,0.013333,4,0,0,0,0
816,reason,2,0.013333,0,0,0,0,0
817,recently,2,0.013333,0,0,0,0,0
818,recovering,2,0.013333,0,0,0,0,0
819,relationships,2,0.013333,0,0,0,2,0
820,renter,2,0.013333,1,0,0,0,0
821,research,2,0.013333,1,0,0,0,0
822,researcher,2,0.013333,1,0,0,0,0
823,resident,2,0.013333,1,0,0,0,0
824,results,2,0.013333,0,0,0,0,0
825,rider,2,0.013333,1,0,0,3,0
826,rights,2,0.013333,0,0,0,0,0
827,runner,2,0.013333,0,0,0,0,0
828,running,2,0.013333,1,0,0,0,0
829,russian,2,0.013333,0,0,0,0,0
830,s,2,0.013333,1,0,0,0,0
831,sad,2,0.013333,1,0,0,1,0
832,safe,2,0.013333,1,0,0,0,0
833,sarcastic,2,0.013333,0,0,0,2,0
834,saver,2,0.013333,1,0,0,0,0
835,savvy,2,0.013333,1,0,0,0,0
836,science,2,0.013333,1,0,0,0,0
837,scientist,2,0.013333,0,0,0,0,0
838,seek,2,0.013333,0,0,0,1,0
839,sense,2,0.013333,2,0,0,2,0
840,services,2,0.013333,0,0,0,0,0
841,several,2,0.013333,1,0,0,0,0
842,sex,2,0.013333,1,0,0,1,0
843,share,2,0.013333,1,0,0,1,0
844,show,2,0.013333,1,0,0,1,0
845,silly,2,0.013333,0,0,0,0,0
846,sincere,2,0.013333,0,0,0,0,0
847,solve,2,0.013333,0,0,0,0,0
848,solving,2,0.013333,1,0,0,1,0
849,soul,2,0.013333,0,0,0,1,0
850,southern,2,0.013333,1,0,0,3,0
851,speaks,2,0.013333,0,0,0,0,0
852,specifically,2,0.013333,0,0,0,1,0
853,stand,2,0.013333,0,0,0,0,0
854,strangers,2,0.013333,0,0,0,0,0
855,stress,2,0.013333,0,0,0,1,0
856,strive,2,0.013333,0,0,0,1,0
857,stronger,2,0.013333,0,0,0,1,0
858,studying,2,0.013333,0,0,0,0,0
859,subjects,2,0.013333,0,0,0,1,0
860,suffer,2,0.013333,0,0,0,0,0
861,summer,2,0.013333,0,0,0,1,0
862,sun,2,0.013333,0,0,0,0,0
863,super,2,0.013333,0,0,0,2,0
864,supporter,2,0.013333,0,0,0,0,0
865,survey,2,0.013333,0,0,0,0,0
866,swim,2,0.013333,0,0,0,1,0
867,swimming,2,0.013333,1,0,0,3,0
868,tasks,2,0.013333,0,0,0,6,0
869,technologies,2,0.013333,0,0,0,1,0
870,teenager,2,0.013333,0,0,0,1,0
871,television,2,0.013333,0,0,0,0,0
872,then,2,0.013333,1,0,0,2,0
873,tinkering,2,0.013333,0,0,0,1,0
874,today,2,0.013333,0,0,0,1,0
875,too,2,0.013333,3,0,0,0,0
876,took,2,0.013333,0,0,0,1,0
877,traveler,2,0.013333,5,0,0,1,0
878,trouble,2,0.013333,0,0,0,6,0
879,trump,2,0.013333,1,0,0,2,0
880,trust,2,0.013333,0,0,0,3,0
881,twice,2,0.013333,0,0,0,4,0
882,type,2,0.013333,2,0,0,0,0
883,types,2,0.013333,1,0,0,0,0
884,unless,2,0.013333,0,0,0,0,0
885,until,2,0.013333,1,0,0,1,0
886,use,2,0.013333,1,0,0,0,0
887,using,2,0.013333,0,0,0,0,0
888,value,2,0.013333,1,0,0,2,0
889,veteran,2,0.013333,0,0,0,1,0
890,walker,2,0.013333,0,0,0,0,0
891,walking,2,0.013333,1,0,0,1,0
892,wanted,2,0.013333,0,0,0,0,0
893,warm,2,0.013333,0,0,0,0,0
894,watch,2,0.013333,3,0,0,0,0
895,weather,2,0.013333,0,0,0,1,0
896,weigh,2,0.013333,0,0,0,0,0
897,weight,2,0.013333,0,0,0,0,0
898,went,2,0.013333,1,0,0,1,0
899,whom,2,0.013333,1,0,0,1,0
900,willed,2,0.013333,0,0,0,2,0
901,winter,2,0.013333,1,0,0,1,0
902,wise,2,0.013333,1,0,0,0,0
903,witty,2,0.013333,0,0,0,3,0
904,worries,2,0.013333,0,0,0,4,0
905,worth,2,0.013333,1,0,0,0,0
906,wouldn't,2,0.013333,0,0,0,0,0
907,wrong,2,0.013333,0,0,0,0,0
908,young,2,0.013333,1,0,0,0,0
909,younger,2,0.013333,1,0,0,0,0
910,your,2,0.013333,1,0,0,2,0
911,000,1,0.006667,0,0,0,1,0
912,10th,1,0.006667,0,0,0,2,0
913,145,1,0.006667,0,0,0,0,0
914,180,1,0.006667,0,0,0,0,0
915,1960's,1,0.006667,0,0,0,0,0
916,1980s,1,0.006667,0,0,0,0,0
917,200,1,0.006667,0,0,0,1,0
918,2000s,1,0.006667,0,0,0,1,0
919,202,1,0.006667,0,0,0,0,0
920,2020,1,0.006667,0,0,0,1,0
921,22,1,0.006667,0,0,0,0,0
922,23,1,0.006667,0,0,0,0,0
923,24,1,0.006667,0,0,0,0,0
924,32,1,0.006667,1,0,0,0,0
925,33,1,0.006667,0,0,0,1,0
926,35,1,0.006667,0,0,0,0,0
927,36,1,0.006667,0,0,0,0,0
928,40s,1,0.006667,0,0,0,0,0
929,46,1,0.006667,0,0,0,0,0
930,48,1,0.006667,0,0,0,0,0
931,49,1,0.006667,0,0,0,0,0
932,5'10,1,0.006667,0,0,0,0,0
933,5'7,1,0.006667,0,0,0,0,0
934,50,1,0.006667,0,0,0,2,0
935,58,1,0.006667,0,0,0,0,0
936,5ft4inches,1,0.006667,0,0,0,0,0
937,5th,1,0.006667,0,0,0,0,0
938,5’5,1,0.006667,0,0,0,0,0
939,64,1,0.006667,0,0,0,0,0
940,65,1,0.006667,0,0,0,2,0
941,67,1,0.006667,0,0,0,0,0
942,71,1,0.006667,0,0,0,0,0
943,73,1,0.006667,0,0,0,0,0
944,78,1,0.006667,0,0,0,0,0
945,aa,1,0.006667,0,0,0,0,0
946,abandoned,1,0.006667,0,0,0,0,0
947,ability,1,0.006667,0,0,0,0,0
948,accept,1,0.006667,0,0,0,0,0
949,acceptance,1,0.006667,0,0,0,0,0
950,accepting,1,0.006667,0,0,0,0,0
951,accrue,1,0.006667,0,0,0,1,0
952,achieve,1,0.006667,0,0,0,0,0
953,achieved,1,0.006667,0,0,0,0,0
954,acquaintances,1,0.006667,0,0,0,0,0
955,act,1,0.006667,0,0,0,1,0
956,action,1,0.006667,0,0,0,0,0
957,actions,1,0.006667,0,0,0,0,0
958,activities,1,0.006667,1,0,0,0,0
959,activity,1,0.006667,0,0,0,0,0
960,actually,1,0.006667,0,0,0,2,0
961,adaptable,1,0.006667,0,0,0,0,0
962,addict,1,0.006667,1,0,0,0,0
963,addiction,1,0.006667,0,0,0,0,0
964,adept,1,0.006667,0,0,0,0,0
965,adhder,1,0.006667,0,0,0,0,0
966,admire,1,0.006667,0,0,0,0,0
967,adolescent,1,0.006667,0,0,0,0,0
968,adorable,1,0.006667,0,0,0,0,0
969,adored,1,0.006667,0,0,0,0,0
970,adventure,1,0.006667,0,0,0,1,0
971,adventurer,1,0.006667,0,0,0,0,0
972,adventures,1,0.006667,0,0,0,0,0
973,advice,1,0.006667,0,0,0,0,0
974,affairs,1,0.006667,0,0,0,1,0
975,affiliations,1,0.006667,0,0,0,0,0
976,affords,1,0.006667,0,0,0,0,0
977,africa,1,0.006667,0,0,0,0,0
978,afterlife,1,0.006667,0,0,0,0,0
979,afternoon,1,0.006667,0,0,0,0,0
980,again,1,0.006667,1,0,0,1,0
981,against,1,0.006667,0,0,0,0,0
982,ago,1,0.006667,1,0,0,1,0
983,agreeable,1,0.006667,0,0,0,0,0
984,agreed,1,0.006667,0,0,0,2,0
985,aids,1,0.006667,0,0,0,0,0
986,alan,1,0.006667,0,0,0,0,0
987,alcohol,1,0.006667,1,0,0,0,0
988,alcoholic,1,0.006667,0,0,0,0,0
989,allergic,1,0.006667,0,0,0,1,0
990,allow,1,0.006667,0,0,0,0,0
991,ally,1,0.006667,0,0,0,1,0
992,alternative,1,0.006667,0,0,0,0,0
993,although,1,0.006667,1,0,0,1,0
994,alzheimer's,1,0.006667,0,0,0,2,0
995,ama,1,0.006667,0,0,0,0,0
996,amateur,1,0.006667,0,0,0,0,0
997,ambiitios,1,0.006667,0,0,0,0,0
998,ambition,1,0.006667,0,0,0,2,0
999,ambivert,1,0.006667,0,0,0,0,0
1000,america,1,0.006667,0,0,0,0,0
1001,amoteur,1,0.006667,0,0,0,0,0
1002,analyst,1,0.006667,0,0,0,1,0
1003,analytical,1,0.006667,2,0,0,0,0
1004,ancestry,1,0.006667,0,0,0,1,0
1005,annoyed,1,0.006667,0,0,0,0,0
1006,ans,1,0.006667,0,0,0,0,0
1007,answers,1,0.006667,0,0,0,0,0
1008,anti,1,0.006667,0,0,0,0,0
1009,antisocial,1,0.006667,1,0,0,0,0
1010,anymore,1,0.006667,1,0,0,1,0
1011,anyone,1,0.006667,0,0,0,0,0
1012,anyone's,1,0.006667,0,0,0,0,0
1013,apologize,1,0.006667,0,0,0,0,0
1014,apologizing,1,0.006667,0,0,0,0,0
1015,appearances,1,0.006667,0,0,0,0,0
1016,applications,1,0.006667,0,0,0,2,0
1017,applying,1,0.006667,0,0,0,0,0
1018,appreciated,1,0.006667,0,0,0,0,0
1019,arguments,1,0.006667,0,0,0,0,0
1020,arkansas,1,0.006667,0,0,0,0,0
1021,arm,1,0.006667,0,0,0,0,0
1022,array,1,0.006667,0,0,0,0,0
1023,articulate,1,0.006667,0,0,0,0,0
1024,articulateness,1,0.006667,0,0,0,0,0
1025,artisitically,1,0.006667,0,0,0,2,0
1026,artistic,1,0.006667,1,0,0,2,0
1027,arts,1,0.006667,0,0,0,0,0
1028,asexual,1,0.006667,0,0,0,0,0
1029,ashkenazim,1,0.006667,0,0,0,0,0
1030,asian,1,0.006667,1,0,0,0,0
1031,asl,1,0.006667,0,0,0,0,0
1032,assertive,1,0.006667,0,0,0,1,0
1033,asshole,1,0.006667,0,0,0,0,0
1034,assistant,1,0.006667,2,0,0,0,0
1035,astronaut,1,0.006667,0,0,0,0,0
1036,athlete,1,0.006667,1,0,0,1,0
1037,attended,1,0.006667,0,0,0,1,0
1038,attending,1,0.006667,0,0,0,0,0
1039,attractive,1,0.006667,1,0,0,1,0
1040,audiobooks,1,0.006667,0,0,0,0,0
1041,authentic,1,0.006667,0,0,0,0,0
1042,autistic,1,0.006667,0,0,0,0,0
1043,available,1,0.006667,0,0,0,0,0
1044,award,1,0.006667,0,0,0,1,0
1045,awareness,1,0.006667,0,0,0,0,0
1046,awesome,1,0.006667,0,0,0,1,0
1047,axioms,1,0.006667,0,0,0,2,0
1048,baby,1,0.006667,1,0,0,0,0
1049,baby's,1,0.006667,0,0,0,0,0
1050,background,1,0.006667,2,0,0,1,0
1051,backgrounds,1,0.006667,0,0,0,1,0
1052,backpack,1,0.006667,0,0,0,1,0
1053,bad,1,0.006667,0,0,0,0,0
1054,baffling,1,0.006667,0,0,0,0,0
1055,balance,1,0.006667,0,0,0,0,0
1056,bamboo,1,0.006667,0,0,0,0,0
1057,bank,1,0.006667,0,0,0,0,0
1058,bare,1,0.006667,0,0,0,0,0
1059,barefoot,1,0.006667,0,0,0,0,0
1060,bars,1,0.006667,0,0,0,0,0
1061,basic,1,0.006667,0,0,0,1,0
1062,bassist,1,0.006667,0,0,0,1,0
1063,beach,1,0.006667,0,0,0,0,0
1064,became,1,0.006667,0,0,0,0,0
1065,become,1,0.006667,1,0,0,0,0
1066,beef,1,0.006667,0,0,0,0,0
1067,beer,1,0.006667,1,0,0,0,0
1068,began,1,0.006667,0,0,0,1,0
1069,begins,1,0.006667,0,0,0,0,0
1070,beings,1,0.006667,0,0,0,0,0
1071,believing,1,0.006667,0,0,0,1,0
1072,belive,1,0.006667,0,0,0,0,0
1073,belong,1,0.006667,0,0,0,2,0
1074,benefit,1,0.006667,0,0,0,1,0
1075,benevolent,1,0.006667,0,0,0,0,0
1076,bennington,1,0.006667,0,0,0,0,0
1077,betrayed,1,0.006667,0,0,0,1,0
1078,between,1,0.006667,0,0,0,0,0
1079,beyond,1,0.006667,0,0,0,0,0
1080,bicpentameter,1,0.006667,0,0,0,1,0
1081,bimmerphile,1,0.006667,0,0,0,0,0
1082,biology,1,0.006667,0,0,0,0,0
1083,birds,1,0.006667,1,0,0,0,0
1084,blessing,1,0.006667,0,0,0,0,0
1085,bletchley,1,0.006667,0,0,0,0,0
1086,blond,1,0.006667,0,0,0,1,0
1087,bod,1,0.006667,0,0,0,0,0
1088,bold,1,0.006667,0,0,0,1,0
1089,bookworm,1,0.006667,1,0,0,1,1
1090,boomer,1,0.006667,1,0,0,0,0
1091,border,1,0.006667,0,0,0,0,0
1092,bore,1,0.006667,0,0,0,0,0
1093,bored,1,0.006667,0,0,0,0,0
1094,boss,1,0.006667,0,0,0,6,0
1095,boston,1,0.006667,0,0,0,0,0
1096,bother,1,0.006667,0,0,0,0,0
1097,boundaries,1,0.006667,0,0,0,0,0
1098,boyfriend,1,0.006667,0,0,0,2,0
1099,boys,1,0.006667,0,0,0,1,0
1100,breath,1,0.006667,0,0,0,0,0
1101,brick,1,0.006667,0,0,0,1,0
1102,bright,1,0.006667,1,0,0,0,0
1103,bring,1,0.006667,0,0,0,2,0
1104,broader,1,0.006667,0,0,0,6,0
1105,broke,1,0.006667,0,0,0,1,0
1106,brook,1,0.006667,0,0,0,2,0
1107,brothers,1,0.006667,0,0,0,0,0
1108,brutally,1,0.006667,0,0,0,0,0
1109,buddha,1,0.006667,0,0,0,0,0
1110,buddy,1,0.006667,0,0,0,0,0
1111,buff,1,0.006667,0,0,0,0,0
1112,bulge,1,0.006667,0,0,0,0,0
1113,bullion,1,0.006667,0,0,0,0,0
1114,bullshit,1,0.006667,0,0,0,1,0
1115,buried,1,0.006667,0,0,0,1,0
1116,burning,1,0.006667,0,0,0,1,0
1117,busy,1,0.006667,1,0,0,0,0
1118,butterfly,1,0.006667,0,0,0,1,0
1119,c,1,0.006667,0,0,0,0,0
1120,calisthenics,1,0.006667,0,0,0,0,0
1121,camping,1,0.006667,0,0,0,0,0
1122,cancers,1,0.006667,0,0,0,0,0
1123,candy,1,0.006667,0,0,0,0,0
1124,car,1,0.006667,3,0,0,2,1
1125,card,1,0.006667,0,0,0,1,0
1126,cared,1,0.006667,0,0,0,0,0
1127,career,1,0.006667,0,0,0,0,0
1128,careers,1,0.006667,0,0,0,0,0
1129,carer,1,0.006667,0,0,0,0,0
1130,caretaker,1,0.006667,0,0,0,0,0
1131,carnivore,1,0.006667,0,0,0,0,0
1132,carry,1,0.006667,2,0,0,0,0
1133,cars,1,0.006667,1,0,0,0,0
1134,case,1,0.006667,0,0,0,2,0
1135,catch,1,0.006667,0,0,0,0,0
1136,caucasian,1,0.006667,0,0,0,0,0
1137,cautious,1,0.006667,1,0,0,0,0
1138,celebrated,1,0.006667,0,0,0,1,0
1139,center,1,0.006667,1,0,0,0,0
1140,certain,1,0.006667,2,0,0,1,0
1141,certification,1,0.006667,0,0,0,0,0
1142,chainsaw,1,0.006667,0,0,0,0,0
1143,chance,1,0.006667,0,0,0,0,0
1144,changes,1,0.006667,0,0,0,0,0
1145,charitable,1,0.006667,0,0,0,0,0
1146,chaser,1,0.006667,0,0,0,0,0
1147,cheerleader,1,0.006667,0,0,0,0,0
1148,chef,1,0.006667,1,0,0,0,0
1149,chess,1,0.006667,0,0,0,0,0
1150,chicken,1,0.006667,0,0,0,1,0
1151,chief,1,0.006667,0,0,0,0,0
1152,chihuahuas,1,0.006667,0,0,0,0,0
1153,childlike,1,0.006667,0,0,0,0,0
1154,children's,1,0.006667,0,0,0,1,0
1155,childrend,1,0.006667,0,0,0,0,0
1156,chinese,1,0.006667,0,0,0,0,0
1157,chivarreto,1,0.006667,0,0,0,0,0
1158,chocolate,1,0.006667,0,0,0,0,0
1159,choice,1,0.006667,1,0,0,0,0
1160,chronic,1,0.006667,1,0,0,1,0
1161,chronically,1,0.006667,0,0,0,1,0
1162,church,1,0.006667,3,0,0,1,0
1163,civilized,1,0.006667,0,0,0,0,0
1164,claims,1,0.006667,0,0,0,0,0
1165,classic,1,0.006667,0,0,0,0,0
1166,classical,1,0.006667,1,0,0,0,0
1167,classy,1,0.006667,0,0,0,0,0
1168,clauses,1,0.006667,0,0,0,2,0
1169,clean,1,0.006667,1,0,0,0,0
1170,clear,1,0.006667,0,0,0,0,0
1171,clever,1,0.006667,0,0,0,0,0
1172,climate,1,0.006667,0,0,0,2,0
1173,closer,1,0.006667,0,0,0,0,0
1174,clotheshorse,1,0.006667,0,0,0,0,0
1175,cloud,1,0.006667,0,0,0,1,0
1176,co,1,0.006667,0,0,0,0,0
1177,coach,1,0.006667,0,0,0,1,0
1178,coalition,1,0.006667,0,0,0,0,0
1179,code,1,0.006667,0,0,0,0,0
1180,codebreakers,1,0.006667,0,0,0,0,0
1181,cog,1,0.006667,0,0,0,1,0
1182,coins,1,0.006667,0,0,0,0,0
1183,collecting,1,0.006667,1,0,0,0,0
1184,collector,1,0.006667,2,0,0,0,0
1185,collects,1,0.006667,0,0,0,0,0
1186,coloradan,1,0.006667,0,0,0,1,0
1187,come,1,0.006667,0,0,0,0,0
1188,comedy,1,0.006667,0,0,0,0,0
1189,comes,1,0.006667,1,0,0,0,0
1190,comfortable,1,0.006667,1,0,0,0,0
1191,common,1,0.006667,1,0,0,2,0
1192,companion,1,0.006667,0,0,0,2,0
1193,compasionate,1,0.006667,0,0,0,0,0
1194,compelling,1,0.006667,0,0,0,0,0
1195,competent,1,0.006667,0,0,0,0,0
1196,completed,1,0.006667,0,0,0,0,0
1197,completing,1,0.006667,0,0,0,6,0
1198,completion,1,0.006667,0,0,0,1,0
1199,composer,1,0.006667,0,0,0,0,0
1200,compromised,1,0.006667,0,0,0,0,0
1201,computer,1,0.006667,1,0,0,0,0
1202,concerned,1,0.006667,1,0,0,0,0
1203,concert,1,0.006667,0,0,0,0,0
1204,concerts,1,0.006667,0,0,0,0,0
1205,concious,1,0.006667,0,0,0,2,0
1206,confidence,1,0.006667,0,0,0,0,0
1207,conflicted,1,0.006667,0,0,0,0,0
1208,conflicting,1,0.006667,0,0,0,0,0
1209,confrontation,1,0.006667,0,0,0,2,0
1210,confused,1,0.006667,0,0,0,0,0
1211,conscious,1,0.006667,0,0,0,0,0
1212,consequences,1,0.006667,0,0,0,0,0
1213,conservationist,1,0.006667,0,0,0,0,0
1214,consideration,1,0.006667,0,0,0,0,0
1215,conspiracy,1,0.006667,0,0,0,0,0
1216,constant,1,0.006667,1,0,0,2,0
1217,constitution,1,0.006667,0,0,0,2,0
1218,consultant,1,0.006667,0,0,0,0,0
1219,consumed,1,0.006667,0,0,0,0,0
1220,consumer,1,0.006667,0,0,0,2,0
1221,content,1,0.006667,0,0,0,0,0
1222,contrasts,1,0.006667,0,0,0,0,0
1223,conversation,1,0.006667,0,0,0,0,0
1224,conversations,1,0.006667,0,0,0,0,0
1225,cooked,1,0.006667,0,0,0,0,0
1226,cooker,1,0.006667,0,0,0,0,0
1227,cool,1,0.006667,2,0,0,1,0
1228,copier,1,0.006667,0,0,0,0,0
1229,coronavirus,1,0.006667,0,0,0,1,0
1230,corporations,1,0.006667,0,0,0,0,0
1231,couldn't,1,0.006667,0,0,0,1,0
1232,counselor,1,0.006667,0,0,0,1,0
